Position,Games,FantasyPoints,PlayerID,AvgFPPG
QB,15,378.0,jalen hurts0,25.2
QB,16,396.0,josh allen0,24.75
QB,17,416.0,patrick mahomes0,24.470588235294116
QB,16,351.0,joe burrow0,21.9375
QB,1,21.0,davis webb0,21.0
QB,15,296.0,justin fields0,19.733333333333334
QB,12,236.0,lamar jackson0,19.666666666666668
QB,11,201.0,kyler murray0,18.272727272727273
QB,16,289.0,daniel jones0,18.0625
QB,1,18.0,sam howell0,18.0
QB,17,304.0,geno smith0,17.88235294117647
QB,13,231.0,tua tagovailoa0,17.76923076923077
QB,17,296.0,trevor lawrence0,17.41176470588235
QB,17,292.0,kirk cousins0,17.176470588235293
RB,16,270.0,derrick henry0,16.875
QB,17,283.0,jared goff0,16.647058823529413
QB,12,199.0,dak prescott0,16.583333333333332
QB,17,279.0,justin herbert0,16.41176470588235
RB,17,275.0,josh jacobs0,16.176470588235293
QB,17,272.0,tom brady0,16.0
RB,17,271.0,christian mccaffrey0,15.941176470588236
RB,17,266.0,austin ekeler0,15.647058823529411
QB,13,197.0,marcus mariota0,15.153846153846153
QB,15,225.0,russell wilson0,15.0
QB,11,165.0,jimmy garoppolo0,15.0
RB,17,254.0,nick chubb0,14.941176470588236
QB,3,44.0,jameis winston0,14.666666666666666
QB,15,219.0,derek carr0,14.6
QB,6,86.0,deshaun watson0,14.333333333333334
QB,6,86.0,sam darnold0,14.333333333333334
QB,4,57.0,mike white0,14.25
RB,16,227.0,saquon barkley0,14.1875
WR,17,241.0,justin jefferson0,14.176470588235293
QB,8,113.0,carson wentz0,14.125
QB,17,239.0,aaron rodgers0,14.058823529411764
WR,9,126.0,cooper kupp0,14.0
WR,17,236.0,davante adams0,13.882352941176471
RB,7,96.0,breece hall0,13.714285714285714
QB,12,161.0,ryan tannehill0,13.416666666666666
WR,17,228.0,tyreek hill0,13.411764705882353
RB,16,210.0,tony pollard0,13.125
WR,16,209.0,stefon diggs0,13.0625
WR,12,155.0,ja'marr chase0,12.916666666666666
QB,12,155.0,matt ryan0,12.916666666666666
QB,9,116.0,taylor heinicke0,12.88888888888889
RB,14,180.0,joe mixon0,12.857142857142858
RB,17,214.0,jamaal williams0,12.588235294117647
WR,17,212.0,a.j. brown0,12.470588235294118
QB,14,174.0,andy dalton0,12.428571428571429
QB,14,170.0,mac jones0,12.142857142857142
QB,15,182.0,davis mills0,12.133333333333333
TE,17,206.0,travis kelce0,12.117647058823529
QB,9,108.0,matthew stafford0,12.0
RB,13,154.0,james conner0,11.846153846153847
QB,9,106.0,brock purdy0,11.777777777777779
